respondent_id,company_size,tech_company,benefits,mh_options_known,boss_mh_discuss,resources,anonymity_protected,leave_easy,bad_conseq_mh_boss,bad_conseq_ph_boss,mh_comfort_coworkers,mh_comfort_supervisor,mh_ph_boss_serious,observed_mhdcoworker_bad_conseq,prev_boss,prev_benefits,prev_mh_options_known,prev_boss_mh_discuss,prev_resources,prev_anonymity_protected,bad_conseq_mh_prev_boss,bad_conseq_ph_prev_boss,mh_comfort_prev_coworkers,mh_comfort_prev_supervisor,mh_ph_prev_boss_serious,prev_observed_bad_conseq_mh,ph_interview,mh_interview,friends_family_mhd_comfort,ever_observed_mhd_bad_response,mhdcoworker_you_not_reveal,mh_family_history,remote_work
54,100-500,1,Yes,I am not sure,No,I don't know,Yes,I don't know,Maybe,Maybe,No,Maybe,I don't know,0,1,Some did,I was aware of some,None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,No,Somewhat open,No,Not applicable,Yes,Never
55,26-100,0,No,Not applicable,No,I don't know,Yes,Very easy,No,No,No,Yes,Yes,0,1,"No, none did",N/A (not currently aware),None did,"Yes, they all did",I don't know,None of them,None of them,Some of my previous employers,"Yes, at all of my previous employers","Yes, they all did",None of them,No,No,Very open,No,Not applicable,I don't know,Sometimes
56,100-500,1,Yes,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,I don't know,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Maybe,Somewhat open,No,Not applicable,No,Sometimes
57,6-25,0,I don't know,No,No,No,I don't know,Very difficult,Yes,Maybe,No,No,No,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,No,Not open at all,No,Not applicable,Yes,Sometimes
58,1-5,1,No,Not applicable,No,I don't know,I don't know,Very easy,No,No,Yes,Yes,I don't know,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,None of them,Yes,Yes,Very open,No,Not applicable,No,Sometimes
59,26-100,1,Yes,Yes,No,No,Yes,Very easy,No,No,Maybe,Yes,Yes,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,No,Somewhat open,No,Not applicable,Yes,Always
60,26-100,1,No,Not applicable,No,No,I don't know,Very easy,No,No,Maybe,Yes,I don't know,0,1,Some did,N/A (not currently aware),None did,None did,I don't know,None of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,None of them,Maybe,No,Somewhat open,No,Not applicable,Yes,Sometimes
61,6-25,1,I don't know,I am not sure,No,No,No,Somewhat easy,No,No,Yes,Maybe,Yes,0,1,I don't know,N/A (not currently aware),None did,Some did,No,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Somewhat open,No,Not applicable,No,Never
62,26-100,1,I don't know,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,No,No,No,No,0,1,Some did,I was aware of some,I don't know,Some did,Sometimes,I don't know,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,No,Neutral,No,Not applicable,No,Sometimes
63,26-100,1,Yes,Yes,No,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,0,1,Some did,I was aware of some,Some did,Some did,"Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,Very open,No,Not applicable,Yes,Always
64,1-5,1,Yes,Yes,No,I don't know,Yes,I don't know,No,No,Maybe,Yes,I don't know,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,No,Somewhat open,No,Not applicable,No,Never
65,1-5,1,No,Not applicable,No,No,I don't know,Very difficult,Maybe,Maybe,No,No,I don't know,1,1,Some did,I was aware of some,None did,None did,No,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,Somewhat not open,"Yes, I experienced",Yes,Yes,Never
66,26-100,1,I don't know,I am not sure,No,I don't know,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Maybe,Somewhat open,No,Not applicable,No,Sometimes
67,6-25,1,Yes,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No,No,Maybe,No,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Maybe,Yes,Somewhat not open,"Yes, I experienced",No response,No,Never
68,26-100,1,I don't know,No,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,No,0,1,I don't know,I was aware of some,None did,Some did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,No,Somewhat open,No,Not applicable,No,Never
69,26-100,1,I don't know,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,No,No,No,No,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,Maybe,Neutral,"Yes, I experienced",No,I don't know,Sometimes
70,26-100,1,I don't know,I am not sure,Yes,Yes,Yes,Very easy,No,No,Maybe,Maybe,Yes,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,No,Very open,No,Not applicable,Yes,Sometimes
71,100-500,0,No,Not applicable,No,No,I don't know,I don't know,Maybe,No,No,No,I don't know,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Maybe,No,Somewhat open,No response,No response,I don't know,Never
72,More than 1000,1,Yes,Yes,I don't know,Yes,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,I don't know,0,1,"Yes, they all did","Yes, I was aware of all of them",I don't know,"Yes, they all did",I don't know,Some of them,None of them,Some of my previous employers,I don't know,I don't know,None of them,No,No,Somewhat not open,No,Not applicable,Yes,Sometimes
73,6-25,1,No,Not applicable,Yes,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Yes,Yes,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Yes,Maybe,Somewhat open,Maybe/Not sure,No,No,Sometimes
74,6-25,1,No,Not applicable,No,No,I don't know,Somewhat difficult,Yes,No,No,Yes,No,1,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,"No, at none of my previous employers",I don't know,Some did,None of them,Yes,Yes,Not open at all,"Yes, I observed",Yes,No,Always
75,6-25,0,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,No,No,Maybe,Yes,I don't know,0,1,"No, none did",N/A (not currently aware),None did,None did,"Yes, always",None of them,None of them,"No, at none of my previous employers",Some of my previous employers,Some did,None of them,Maybe,Maybe,Somewhat open,No response,No response,No,Sometimes
76,100-500,1,Yes,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,I don't know,0,1,Some did,I was aware of some,Some did,None did,Sometimes,None of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,No,Somewhat open,No,Not applicable,Yes,Sometimes
77,26-100,1,I don't know,I am not sure,No,I don't know,I don't know,Very easy,No,No,Maybe,Maybe,I don't know,0,1,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, they all did",I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,"Yes, they all did",Some of them,No,No,Not applicable to me (I do not have a mental illness),"Yes, I observed",Yes,No,Always
78,26-100,1,I don't know,I am not sure,Yes,I don't know,Yes,I don't know,No,No,No,No,Yes,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,I don't know,None did,None of them,Maybe,Maybe,Somewhat open,No,Not applicable,I don't know,Sometimes
79,100-500,1,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Yes,No,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,No,Somewhat open,No,Not applicable,Yes,Sometimes
80,500-1000,1,Yes,No,I don't know,I don't know,I don't know,Neither easy nor difficult,Maybe,No,No,No,I don't know,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,Not applicable to me (I do not have a mental illness),No response,No response,No,Sometimes
81,100-500,1,I don't know,No,No,No,I don't know,I don't know,Yes,No,Maybe,Yes,No,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,No,Very open,No,Not applicable,I don't know,Sometimes
82,6-25,1,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,No,No,Yes,Yes,I don't know,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,None of them,Yes,Yes,Somewhat open,No,Not applicable,Yes,Sometimes
83,26-100,1,I don't know,I am not sure,I don't know,I don't know,I don't know,Very easy,Maybe,Maybe,No,No,I don't know,0,1,Some did,I was aware of some,Some did,Some did,"Yes, always",Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,No,Somewhat open,No,Not applicable,Yes,Sometimes
84,26-100,1,No,Not applicable,No,No,I don't know,Somewhat difficult,Yes,No,Maybe,Maybe,No,1,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,No,Somewhat open,Maybe/Not sure,Maybe,I don't know,Never
85,26-100,1,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,No,No,0,1,Some did,I was aware of some,None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,Yes,Never
